Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
1,2,,,2,,15,,2,,,,,,,,,,3,,,,3,,,,,,1,,,,,,2,,30,2,1
2,1,,,6,2,25,2,3,1,,,,,,,1,,11,,2,1,,,,,1,,1,,,,,,,,57,1,1
3,2,,1,13,1,30,,3,,,1,,,1,3,,2,2,,,,2,,,,,,1,,,,,,1,,63,2,1
4,1,,1,4,1,29,,2,1,,,,,,,,,,,2,,3,,,,,,1,,,,,,,,45,1,1
5,1,,1,6,2,27,,,,,2,,,,,,2,9,,1,1,2,,,,,1,1,,,,,,,,56,1,1
6,,,1,6,2,28,,,,,2,,,,,,2,9,,1,1,2,,,,,1,1,,,,,,,,56,0,0
7,,,,1,,9,,,,1,,,,,,,,1,,1,,,1,,1,,,1,1,1,,,3,3,,24,0,0
8,6,,,,,4,1,,,,,,,,,,5,,,,,,,,,,,1,,,,,,6,,23,6,1
9,,,,2,1,28,,1,,,,,,,,,1,13,,,1,2,,,,,,1,,,,,,,,50,0,0
10,,,,4,,28,,2,,,,,,,,3,,1,,,,2,,,,,,1,,,,,,,,41,0,0
11,,,1,1,1,13,,4,,,,,,,,1,,7,,3,2,,,,,,1,1,,,,1,,1,,37,0,0
12,1,,1,1,,29,,1,,,,,,,,,,,,1,,3,,,,,,1,,,,,,,,38,1,1
13,1,,,,2,15,,,,,,,,,,,1,28,,,,1,,,,2,,1,,,,,,1,,52,1,1
14,4,,2,14,5,51,,11,1,,,,,2,4,1,4,4,,3,4,3,,,,,1,2,,,1,,,1,,118,4,1
15,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,0,0
16,,,,1,,12,,1,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,18,0,0
17,1,,,1,,5,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,9,1,1
18,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,0,0
19,2,,,3,1,13,,,,,,,,,,2,,,,1,,2,,,,,,1,,,,,,,,25,2,1
20,1,,,5,,27,,4,,,,,,,,,,,,,1,4,,1,,,,1,,,,,,,,44,1,1
21,1,,,,,4,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,7,1,1
22,,,,4,,20,,,,,,,,1,,1,,,,1,,1,,,,,,1,,,,,,,,29,0,0
23,2,,2,,,30,,1,1,,,,,,,,2,9,,6,1,5,,,,1,,1,,,,,,1,,62,2,1
24,1,,,,,13,,,13,,,,,,,,,,,13,,,,,,,,1,,,,,,,,41,1,1
25,1,,,2,,27,,3,,,,,,,1,,,,,1,,3,,1,,,,1,,,,,,,,40,1,1
26,1,,,,1,27,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,32,1,1
27,1,1,,2,,21,,1,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,30,1,1
28,3,,1,3,1,21,,1,,,1,,,1,,,3,11,,,,2,,,,,4,1,,,,,,2,,55,3,1
29,2,,,2,1,58,,1,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,68,2,1
30,,,,,,6,,,6,,,,,,,,,,,3,8,,,,,,,1,,,,,,,,24,0,0
31,1,,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,1,1
32,1,,,,,5,,,6,,,,,,,,,,,3,8,,,,,,,1,,,,,,,,24,1,1
